File,Class,isDC,isGC
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.eventhub.ConsumeAzureEventHub,EventProcessorFactory,1,0
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.eventhub.ConsumeAzureEventHub,EventProcessor,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.PutAzureBlobStorage,PutAzureBlobStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.ListAzureBlobStorage,ListAzureBlobStorage,1,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.DeleteAzureBlobStorage,DeleteAzureBlobStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.FetchAzureBlobStorage,FetchAzureBlobStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.queue.AbstractAzureQueueStorage,AbstractAzureQueueStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.queue.GetAzureQueueStorage,GetAzureQueueStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.queue.PutAzureQueueStorage,PutAzureQueueStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.storage.utils.AzureStorageUtils,AzureStorageUtils,1,1
nifi.nifi-nar-bundles.nifi-ignite-bundle.nifi-ignite-processors.src.test.java.org.apache.nifi.processors.ignite.cache.ITPutIgniteCache,ITPutIgniteCache,0,1
nifi.nifi-nar-bundles.nifi-ignite-bundle.nifi-ignite-processors.src.test.java.org.apache.nifi.processors.ignite.cache.TestPutIgniteCache,TestPutIgniteCache,0,1
nifi.nifi-nar-bundles.nifi-ignite-bundle.nifi-ignite-processors.src.test.java.org.apache.nifi.processors.ignite.cache.TestGetIgniteCache,TestGetIgniteCache,0,1
nifi.nifi-nar-bundles.nifi-ignite-bundle.nifi-ignite-processors.src.test.java.org.apache.nifi.processors.ignite.cache.ITGetIgniteCache,ITGetIgniteCache,0,1
nifi.nifi-nar-bundles.nifi-ignite-bundle.nifi-ignite-processors.src.main.java.org.apache.nifi.processors.ignite.cache.GetIgniteCache,GetIgniteCache,0,1
nifi.nifi-nar-bundles.nifi-ignite-bundle.nifi-ignite-processors.src.main.java.org.apache.nifi.processors.ignite.cache.AbstractIgniteCacheProcessor,AbstractIgniteCacheProcessor,0,1
nifi.nifi-nar-bundles.nifi-ignite-bundle.nifi-ignite-processors.src.main.java.org.apache.nifi.processors.ignite.cache.PutIgniteCache,PutIgniteCache,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestDeleteHBaseRow,TestDeleteHBaseRow,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestVisibilityUtil,TestVisibilityUtil,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestPutHBaseCell,TestPutHBaseCell,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.HBaseTestUtil,HBaseTestUtil,0,1
