File,Method,isFE,isLM
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,isReadable,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,readFrom,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,keepEncoded,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,persistParamsOnMessage,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,createMap,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,getFormObject,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,populateMap,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,getSize,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,isWriteable,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,isSupported,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,writeTo,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,createProvider,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,getInstance,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,getInstance,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,getInstance,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,getSharedInstance,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,createContextResolver,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,createContextResolver,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.ProviderFactory,createContextProvider,1,1
